consommation_energie,classe_consommation_energie,estimation_ges,classe_estimation_ges,annee_construction,surface_habitable,nombre_niveaux,surface_baies_orientees_nord,surface_baies_orientees_est_ouest,surface_baies_orientees_sud,surface_planchers_hauts_deperditifs,surface_planchers_bas_deperditifs,surface_parois_verticales_opaques_deperditives,longitude,latitude,tr001_modele_dpe_type_libelle,tr002_type_batiment_libelle
0.0,N,0.0,N,1947,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
337.0,F,79.0,F,1978,66.0,1.0,0.45,4.16,2.37,92.0,68.0,85.0,,,Vente,Maison
542.0,G,7.0,B,1978,64.0,1.0,0.0,8.28,0.0,46.0,46.0,100.0,,,Vente,Maison
586.0,G,37.0,E,1983,72.0,1.0,2.53,10.32,0.0,72.0,72.0,98.0,,,Vente,Maison
355.0,F,20.0,C,1948,73.19,2.0,3.79,4.17,4.28,48.61,29.0,167.0,,,Vente,Maison
42.0,N,0.55,N,1948,120.0,,,,,,,,,,Location,Maison
368.0,F,55.0,E,1948,105.0,2.0,0.0,6.5,1.2,50.0,51.2,140.0,,,Vente,Maison
198.0,D,22.0,D,2001,157.26,2.0,0.25,9.68,5.92,103.45,103.45,146.57,,,Vente,Maison
0.0,N,0.0,N,1947,150.0,1.0,2.0,0.0,0.0,150.0,150.0,2.0,,,Vente,Maison
0.0,N,0.0,N,1947,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Location,Appartement
270.0,E,8.0,B,1947,170.0,1.0,20.0,0.0,0.0,10.0,10.0,30.0,,,Vente,Appartement
0.0,A,0.0,A,1948,74.28,1.0,5.99,7.03,0.0,74.28,74.28,122.4,3.498263,44.516789,Vente,Appartement
0.0,A,0.0,A,1949,63.41,1.0,0.0,29.43,0.0,63.41,63.41,77.0,3.498263,44.516789,Vente,Appartement
0.0,A,0.0,A,1948,58.43,1.0,0.0,5.58,1.68,58.43,58.43,92.0,3.498263,44.516789,Vente,Appartement
0.0,A,0.0,A,1948,72.39,2.0,3.22,3.41,0.0,72.4,36.2,44.0,3.498263,44.516789,Vente,Appartement
687.0,G,44.0,E,1948,72.28,2.0,0.13,2.9,2.4,45.05,45.05,139.2,,,Vente,Maison
